日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/05/08	540 南投市  	FG1 苦瓜 白大米 	40.0 	22.0 	8.0 	21.7 	 -  0	563 	 +121	12188.95
111/05/08	540 南投市  	FH2 扁蒲 圓形 	18.0 	15.0 	10.0 	14.3 	  -  	187 	  -  	2681.58
111/05/08	540 南投市  	FI2 茄子 麻荸茄 	29.0 	14.0 	4.0 	13.1 	 - 43	185 	 - 50	2419.8
111/05/08	540 南投市  	FJ3 番茄 牛番茄 	60.0 	51.0 	28.0 	50.3 	 +  9	222 	 - 10	11164.38
111/05/08	540 南投市  	FK5 甜椒 青椒 	24.0 	11.0 	1.5 	10.2 	 - 37	526 	 +114	5344.16
111/05/08	540 南投市  	FN2 敏豆 青豆 	110.0 	95.0 	30.0 	93.1 	 + 63	40 	 - 49	3725.2
111/05/08	540 南投市  	LA1 甘藍 初秋 	33.0 	27.0 	15.0 	26.8 	 + 15	"1,475 "	 + 35	39456.25
111/05/08	540 南投市  	OX1 其他  	130.0 	26.0 	5.0 	24.2 	 -  2	"2,592 "	 +  8	62674.56
111/05/08	540 南投市  	SQ3 茭白筍 去殼 	270.0 	208.0 	78.0 	206.7 	 +  0	78 	 + 28	16124.94
111/05/10	540 南投市  	FB2 花椰菜 白梗 	40.0 	35.0 	7.0 	34.0 	 -  5	252 	 - 45	8562.96
111/05/10	540 南投市  	FC1 胡瓜 黑刺 	13.0 	8.0 	2.5 	7.3 	 - 16	724 	 + 64	5292.44
111/05/10	540 南投市  	FD1 花胡瓜  	40.0 	22.0 	4.5 	21.3 	 + 14	239 	 - 23	5078.75
111/05/10	540 南投市  	FF1 絲瓜  	35.0 	22.0 	4.0 	21.7 	 - 13	630 	 + 64	13696.2
111/05/10	540 南投市  	FG1 苦瓜 白大米 	48.0 	20.0 	8.0 	19.6 	 - 10	730 	 + 30	14293.4
111/05/10	540 南投市  	FH2 扁蒲 圓形 	16.0 	15.0 	11.0 	14.4 	 +  0	202 	 +  8	2902.74
111/05/10	540 南投市  	FI2 茄子 麻荸茄 	25.0 	20.0 	11.0 	20.0 	 + 53	343 	 + 85	6842.85
111/05/10	540 南投市  	FJ3 番茄 牛番茄 	61.0 	47.0 	20.0 	46.1 	 -  8	309 	 + 39	14232.54
111/05/10	540 南投市  	FK5 甜椒 青椒 	27.0 	14.0 	8.0 	13.2 	 + 30	342 	 - 35	4528.08
111/05/10	540 南投市  	FM2 菜豆 青色 	55.0 	48.0 	40.0 	47.5 	  -  	74 	  -  	3512.04
111/05/10	540 南投市  	FN2 敏豆 青豆 	120.0 	78.0 	30.0 	77.0 	 - 17	71 	 + 78	5465.58
111/05/10	540 南投市  	LA1 甘藍 初秋 	32.0 	28.0 	22.0 	27.6 	 +  3	884 	 - 40	24398.4
111/05/10	540 南投市  	LB1 小白菜 土白菜 	25.0 	17.0 	11.0 	16.4 	  -  	71 	  -  	1166.53
111/05/10	540 南投市  	OX1 其他  	70.0 	27.0 	2.0 	25.1 	 +  4	"2,512 "	 -  3	62950.72
111/05/10	540 南投市  	SQ3 茭白筍 去殼 	265.0 	200.0 	81.0 	198.2 	 -  4	57 	 - 27	11296.83
111/05/11	540 南投市  	FB2 花椰菜 白梗 	65.0 	27.0 	5.0 	26.4 	 - 22	261 	 +  4	6877.35
111/05/11	540 南投市  	FC1 胡瓜 黑刺 	10.0 	7.0 	2.0 	6.3 	 - 14	628 	 - 13	3943.84
111/05/11	540 南投市  	FD1 花胡瓜  	38.0 	34.0 	18.0 	33.8 	 + 59	206 	 - 14	6954.56
111/05/11	540 南投市  	FF1 絲瓜  	30.0 	22.0 	14.0 	21.6 	 -  1	471 	 - 25	10150.05
111/05/11	540 南投市  	FG1 苦瓜 白大米 	40.0 	19.0 	5.0 	17.9 	 -  9	503 	 - 31	9003.7
111/05/11	540 南投市  	FH2 扁蒲 圓形 	16.0 	13.0 	10.0 	12.7 	 - 12	411 	 +103	5207.37
