日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/02	800 高雄市	Y0 桃子 其他 	50.0 	50.0 	50.0 	50.0 	 + 25	62 	 +417	3100
111/04/02	800 高雄市	Y39 桃子 甜桃進口 	130.0 	87.8 	70.0 	92.7 	 +  7	710 	 - 52	65817
111/04/03	800 高雄市	11 椰子  	13.0 	10.7 	8.0 	10.6 	  -  	"6,980 "	  -  	73988
111/04/03	800 高雄市	22 棗子  	150.0 	150.0 	150.0 	150.0 	 + 21	404 	 + 73	60600
111/04/03	800 高雄市	32 釋迦 鳳梨釋迦 	60.0 	60.0 	60.0 	60.0 	 + 22	24 	 - 96	1440
111/04/03	800 高雄市	41 梅  	70.0 	58.5 	50.0 	59.1 	 -  2	220 	 - 87	13002
111/04/03	800 高雄市	45 草莓  	182.6 	107.1 	75.0 	115.8 	 +  4	184 	 + 56	21307.2
111/04/03	800 高雄市	459 草莓 進口 	800.0 	800.0 	800.0 	800.0 	    0	10 	 - 44	8000
111/04/03	800 高雄市	51 百香果 改良種 	100.0 	92.1 	72.3 	89.7 	 -  0	234 	 +144	20989.8
111/04/03	800 高雄市	70 小番茄 其他 	80.0 	73.8 	45.2 	69.3 	 + 16	728 	 - 27	50450.4
111/04/03	800 高雄市	72 小番茄 聖女 	70.0 	49.7 	22.0 	48.2 	 +  1	"1,150 "	 + 20	55430
111/04/03	800 高雄市	74 小番茄 玉女 	200.0 	200.0 	124.8 	185.0 	 + 72	216 	 + 50	39960
111/04/03	800 高雄市	91 其他  	14.9 	12.0 	12.0 	12.6 	 - 37	744 	 + 98	9374.4
111/04/03	800 高雄市	919 其他 進口 	80.0 	80.0 	80.0 	80.0 	 + 20	280 	 + 17	22400
111/04/03	800 高雄市	A1 香蕉  	80.0 	61.8 	48.4 	62.8 	 -  0	"1,262 "	 - 35	79253.6
111/04/03	800 高雄市	B2 鳳梨 金鑽鳳梨 	29.0 	21.0 	12.8 	21.0 	 - 12	"7,672 "	 - 23	161112
111/04/03	800 高雄市	C2 茂谷柑  	46.3 	29.7 	18.9 	30.9 	 - 14	"3,531 "	 - 44	109107.9
111/04/03	800 高雄市	D1 桶柑  	27.9 	18.9 	13.1 	19.5 	 -  2	"10,122 "	 + 87	197379
111/04/03	800 高雄市	E1 甜橙 柳橙 	30.0 	30.0 	30.0 	30.0 	 -  7	225 	 - 32	6750
111/04/03	800 高雄市	E9 甜橙 進口 	80.6 	72.2 	63.9 	72.2 	 + 21	900 	 - 78	64980
